id,rulebreaker_type,category,firstName,pronoun,verb,entityA,entityB,premise1,premise2,conclusion,label
RULEBREAKER_0000000_nonrb,mt,cities,Adriana,she,is in,Saint Kitts and Nevis,Harare,"If Adriana is in Saint Kitts and Nevis, then she is not in Harare.",Adriana is in Harare.,Adriana is not in Saint Kitts and Nevis.,True
RULEBREAKER_0000001_nonrb,mt,cities,Amaia,she,is in,Burundi,Saint John's,"If Amaia is in Burundi, then she is not in Saint John's.",Amaia is in Saint John's.,Amaia is not in Burundi.,True
RULEBREAKER_0000002_nonrb,mt,cities,Bogdana,she,is in,Trinidad and Tobago,Antananarivo,"If Bogdana is in Trinidad and Tobago, then she is not in Antananarivo.",Bogdana is in Antananarivo.,Bogdana is not in Trinidad and Tobago.,True
RULEBREAKER_0000003_nonrb,mt,cities,Georgios,he,is in,United Arab Emirates,Santiago,"If Georgios is in United Arab Emirates, then he is not in Santiago.",Georgios is in Santiago.,Georgios is not in United Arab Emirates.,True
RULEBREAKER_0000004_nonrb,mt,cities,Narek,he,is in,Seychelles,Helsinki,"If Narek is in Seychelles, then he is not in Helsinki.",Narek is in Helsinki.,Narek is not in Seychelles.,True
RULEBREAKER_0000005_nonrb,mt,cities,Isla,she,is in,Mongolia,Riyadh,"If Isla is in Mongolia, then she is not in Riyadh.",Isla is in Riyadh.,Isla is not in Mongolia.,True
RULEBREAKER_0000006_nonrb,mt,cities,Mikaere,he,is in,Saint Vincent and the Grenadines,Bangui,"If Mikaere is in Saint Vincent and the Grenadines, then he is not in Bangui.",Mikaere is in Bangui.,Mikaere is not in Saint Vincent and the Grenadines.,True
RULEBREAKER_0000007_nonrb,mt,cities,Göktug,he,is in,North Korea,Quito,"If Göktug is in North Korea, then he is not in Quito.",Göktug is in Quito.,Göktug is not in North Korea.,True
RULEBREAKER_0000008_nonrb,mt,cities,Paul,he,is in,Central African Republic,Dodoma,"If Paul is in Central African Republic, then he is not in Dodoma.",Paul is in Dodoma.,Paul is not in Central African Republic.,True
RULEBREAKER_0000009_nonrb,mt,cities,Nuray,she,is in,South Korea,Mogadishu,"If Nuray is in South Korea, then she is not in Mogadishu.",Nuray is in Mogadishu.,Nuray is not in South Korea.,True
RULEBREAKER_0000010_nonrb,mt,cities,Yua,she,is in,Iraq,Lilongwe,"If Yua is in Iraq, then she is not in Lilongwe.",Yua is in Lilongwe.,Yua is not in Iraq.,True
RULEBREAKER_0000011_nonrb,mt,cities,Lovely,she,is in,Ethiopia,Gaborone,"If Lovely is in Ethiopia, then she is not in Gaborone.",Lovely is in Gaborone.,Lovely is not in Ethiopia.,True
RULEBREAKER_0000012_nonrb,mt,cities,Andrej,he,is in,Pakistan,Belmopan,"If Andrej is in Pakistan, then he is not in Belmopan.",Andrej is in Belmopan.,Andrej is not in Pakistan.,True
RULEBREAKER_0000013_nonrb,mt,cities,Ilgar,he,is in,Slovakia,Dakar,"If Ilgar is in Slovakia, then he is not in Dakar.",Ilgar is in Dakar.,Ilgar is not in Slovakia.,True
RULEBREAKER_0000014_nonrb,mt,cities,Aygun,she,is in,Venezuela,Apia,"If Aygun is in Venezuela, then she is not in Apia.",Aygun is in Apia.,Aygun is not in Venezuela.,True
RULEBREAKER_0000015_nonrb,mt,cities,Dominik,he,is in,North Macedonia,South Tarawa,"If Dominik is in North Macedonia, then he is not in South Tarawa.",Dominik is in South Tarawa.,Dominik is not in North Macedonia.,True
RULEBREAKER_0000016_nonrb,mt,cities,Aleksandr,he,is in,Germany,Honiara,"If Aleksandr is in Germany, then he is not in Honiara.",Aleksandr is in Honiara.,Aleksandr is not in Germany.,True
RULEBREAKER_0000017_nonrb,mt,cities,Tess,she,is in,Suriname,Maseru,"If Tess is in Suriname, then she is not in Maseru.",Tess is in Maseru.,Tess is not in Suriname.,True
RULEBREAKER_0000018_nonrb,mt,cities,Susanna,she,is in,Costa Rica,Nassau,"If Susanna is in Costa Rica, then she is not in Nassau.",Susanna is in Nassau.,Susanna is not in Costa Rica.,True
RULEBREAKER_0000019_nonrb,mt,cities,Mahamadou,he,is in,Samoa,Tunis,"If Mahamadou is in Samoa, then he is not in Tunis.",Mahamadou is in Tunis.,Mahamadou is not in Samoa.,True
RULEBREAKER_0000020_nonrb,mt,cities,Tróndur,he,is in,Cambodia,Kathmandu,"If Tróndur is in Cambodia, then he is not in Kathmandu.",Tróndur is in Kathmandu.,Tróndur is not in Cambodia.,True
RULEBREAKER_0000021_nonrb,mt,cities,Taha,he,is in,Turkey,Doha,"If Taha is in Turkey, then he is not in Doha.",Taha is in Doha.,Taha is not in Turkey.,True
RULEBREAKER_0000022_nonrb,mt,cities,Jökull,he,is in,Mali,Astana,"If Jökull is in Mali, then he is not in Astana.",Jökull is in Astana.,Jökull is not in Mali.,True
RULEBREAKER_0000023_nonrb,mt,cities,Violeta,she,is in,Kenya,Dili,"If Violeta is in Kenya, then she is not in Dili.",Violeta is in Dili.,Violeta is not in Kenya.,True
RULEBREAKER_0000024_nonrb,mt,cities,Hessa,she,is in,Vanuatu,Kuala Lumpur,"If Hessa is in Vanuatu, then she is not in Kuala Lumpur.",Hessa is in Kuala Lumpur.,Hessa is not in Vanuatu.,True
RULEBREAKER_0000025_nonrb,mt,cities,Umar,he,is in,Argentina,Nukuʻalofa,"If Umar is in Argentina, then he is not in Nukuʻalofa.",Umar is in Nukuʻalofa.,Umar is not in Argentina.,True
RULEBREAKER_0000026_nonrb,mt,cities,Marta,she,is in,Armenia,Algiers,"If Marta is in Armenia, then she is not in Algiers.",Marta is in Algiers.,Marta is not in Armenia.,True
